era,total_shows,successful,avg_rating,avg_votes,success_rate
Golden Age (85-96),331,111,7.0335347432024165,4853.7643504531725,33.53474320241692
Modern (97-09),422,138,6.901421800947867,8629.601895734597,32.70142180094787
Streaming Era (2010+),623,209,6.72808988764045,6929.372391653291,33.547351524879616
