country,total_shows,successful,avg_rating,success_rate
United Kingdom,125,58,7.2808,46.400000000000006
Australia,18,7,7.2555555555555555,38.88888888888889
France,67,24,7.280597014925373,35.82089552238806
United States,656,219,6.7875000000000005,33.38414634146341
Coproduction,308,84,6.722402597402597,27.27272727272727
Canada,111,22,6.503603603603604,19.81981981981982
