title,runtimeMinutes,is_successful,averageRating,technique,era,country
Mummies Alive!,30.0,0,7.0,Traditional,Modern (97-09),United States
Peppa Pig,9.0,0,6.2,Flash,Modern (97-09),United Kingdom
Pepper Ann,30.0,1,7.1,Traditional,Modern (97-09),United States
Peter Pan and the Pirates,30.0,0,7.2,Traditional,Golden Age (85-96),United States
Penny Crayon,10.0,0,6.8,Traditional,Golden Age (85-96),United Kingdom
Phantom 2040,30.0,0,7.2,Traditional,Golden Age (85-96),Coproduction
Phineas and Ferb,15.0,1,8.1,Traditional,Modern (97-09),United States
Pickle and Peanut,30.0,0,4.6,Flash,Streaming Era (2010+),United States
Pig City,30.0,0,7.4,Traditional,Modern (97-09),Coproduction
Pig Goat Banana Cricket,22.0,0,3.5,Flash,Streaming Era (2010+),United States
Pigeon Boy,26.0,0,7.7,Traditional,Modern (97-09),France
Piggsburg Pigs!,44.0,0,6.1,Traditional,Golden Age (85-96),Coproduction
Pikwik Pack,24.0,1,8.2,Flash,Streaming Era (2010+),United States
Phantom Investigators,30.0,0,7.6,Stop Motion,Modern (97-09),United States
Pelswick,30.0,0,6.8,Traditional,Modern (97-09),Coproduction
Pac-Man and the Ghostly Adventures,30.0,0,4.7,CGI,Streaming Era (2010+),Coproduction
Packages from Planet X,22.0,0,6.4,Flash,Streaming Era (2010+),Coproduction
Paddington Bear,30.0,0,7.2,Traditional,Golden Age (85-96),Coproduction
Pakdam Pakdai,11.0,0,6.3,Flash,Streaming Era (2010+),India
Pantheon,41.0,1,8.5,Traditional,Streaming Era (2010+),United States
PAW Patrol,23.0,0,6.1,CGI,Streaming Era (2010+),Coproduction
PB Bear and Friends,5.0,1,8.1,Stop Motion,Modern (97-09),United Kingdom
PB&J Otter,15.0,0,6.9,Traditional,Modern (97-09),United States
Pecola,30.0,0,5.5,CGI,Modern (97-09),Coproduction
Pablo the Little Red Fox,5.0,1,8.1,Traditional,Modern (97-09),United Kingdom
Ping and Friends,7.0,1,8.1,Flash,Streaming Era (2010+),Canada Brazil
Pinkalicious & Peterrific,30.0,0,5.1,Flash,Streaming Era (2010+),United States
Popeye and Son,30.0,0,5.7,Traditional,Golden Age (85-96),United States
Postcards from Buster,22.0,0,5.8,Traditional/Live-action,Modern (97-09),Coproduction
Powerbirds,22.0,0,7.6,Flash,Streaming Era (2010+),United States
Presto! School of Magic,11.0,1,8.7,CGI,Streaming Era (2010+),France
Preston Pig,15.0,0,6.2,Traditional,Modern (97-09),United Kingdom
Primal,22.0,1,8.6,Traditional,Streaming Era (2010+),United States
Princess Sissi,30.0,0,6.9,Traditional,Modern (97-09),Coproduction
Princesse Shéhérazade,25.0,0,7.4,Traditional,Golden Age (85-96),France
Power Players,11.0,0,5.1,CGI,Streaming Era (2010+),Coproduction
Pond Life,30.0,1,8.0,Traditional,Golden Age (85-96),United Kingdom
Polly Pocket,22.0,0,5.9,Flash,Streaming Era (2010+),Coproduction
Pinky and the Brain,30.0,1,7.8,Traditional,Golden Age (85-96),United States
"Pinky, Elmyra & the Brain",30.0,0,5.8,Traditional,Modern (97-09),United States
Pippi Longstocking,30.0,0,6.2,Traditional,Modern (97-09),Coproduction
Pirate Express,22.0,0,7.5,Flash,Streaming Era (2010+),Coproduction
PJ Masks,24.0,0,5.3,CGI,Streaming Era (2010+),France
Planet Sheen,30.0,0,3.0,CGI,Streaming Era (2010+),United States
Pocoyo,7.0,1,7.1,CGI,Modern (97-09),Coproduction
Pink Panther and Pals,25.0,0,6.7,Traditional/Toon Boom,Streaming Era (2010+),United States
Mumble Bumble,5.0,1,8.4,Traditional,Modern (97-09),Coproduction
Ozzy & Drix,30.0,0,6.9,Traditional,Modern (97-09),United States
Neighbors from Hell,30.0,0,5.9,Flash,Streaming Era (2010+),United States
Nella the Princess Knight,22.0,0,5.1,Flash/Toon Boom,Streaming Era (2010+),Coproduction
Nellie the Elephant,5.0,0,6.2,Traditional,Golden Age (85-96),United Kingdom
New Kids on the Block,30.0,0,4.4,Traditional,Golden Age (85-96),United States
New Looney Tunes,11.0,0,5.8,Flash/Traditional,Streaming Era (2010+),United States
Ned's Newt,30.0,0,6.4,Traditional,Modern (97-09),Coproduction
