title,runtimeMinutes,is_successful,averageRating,technique,era,country
The Smurfs,12.0,0,6.4,CGI,Streaming Era (2010+),Coproduction
The Spectacular Spider-Man,23.0,1,8.4,Traditional,Modern (97-09),United States
The Spooktacular New Adventures of Casper,25.0,0,5.9,Traditional,Golden Age (85-96),United States
The Ripping Friends,30.0,0,6.3,Flash,Modern (97-09),Coproduction
The Ricky Gervais Show,30.0,1,8.4,Flash,Streaming Era (2010+),Coproduction
The Pirates of Dark Water,30.0,1,8.2,Traditional,Golden Age (85-96),United States
The PJs,30.0,0,6.8,Stop Motion,Modern (97-09),United States
The Poddington Peas,5.0,0,6.7,Traditional,Golden Age (85-96),United Kingdom
The Pole,13.0,0,5.5,Flash,Streaming Era (2010+),United States
The Pondles,11.0,0,5.6,Traditional,Golden Age (85-96),United Kingdom
The Popeye Show,30.0,0,7.4,Traditional,Modern (97-09),United States
The Powerpuff Girls,30.0,1,7.3,Traditional,Modern (97-09),United States
The Prince,14.0,0,5.8,Flash,Streaming Era (2010+),United States
The Prince of Atlantis,25.0,1,7.8,CGI,Modern (97-09),United Kingdom
The Proud Family,30.0,0,6.6,Traditional,Modern (97-09),United States
The Proud Family: Louder and Prouder,30.0,0,3.3,Traditional,Streaming Era (2010+),United States
The Ratties,5.0,1,7.9,Traditional,Golden Age (85-96),United Kingdom
The Real Adventures of Jonny Quest,21.0,1,7.7,Traditional,Golden Age (85-96),United States
The Ren & Stimpy Show,30.0,1,7.5,Traditional,Golden Age (85-96),United States
The Pink Panther,30.0,0,6.9,Traditional,Golden Age (85-96),United States
The Super Mario Bros. Super Show!,30.0,0,6.3,Traditional,Golden Age (85-96),United States
Theodore Tugboat,15.0,1,7.3,Traditional,Golden Age (85-96),Canada
"This Is America, Charlie Brown",24.0,0,7.4,Traditional,Golden Age (85-96),United States
The Zeta Project,30.0,0,6.9,Traditional,Modern (97-09),United States
Thunderbirds Are Go,22.0,0,6.9,CGI,Streaming Era (2010+),Coproduction
TigerSharks,12.0,0,6.9,Traditional,Golden Age (85-96),United States
Time Squad,30.0,0,7.4,Traditional,Modern (97-09),United States
Time Traveler Luke,20.0,0,7.7,CGI,Streaming Era (2010+),South Korea
Timon & Pumbaa,22.0,0,7.0,Traditional,Golden Age (85-96),United States
Timothy Goes to School,30.0,0,6.7,Traditional,Modern (97-09),Coproduction
ThunderCats Roar,11.0,0,2.2,Traditional,Streaming Era (2010+),United States
The World of Tosh,30.0,0,6.4,Traditional,Modern (97-09),Sweden
The Sylvester & Tweety Mysteries,30.0,1,7.0,Traditional,Golden Age (85-96),United States
The Tick,30.0,1,7.8,Traditional,Golden Age (85-96),United States
The Treacle People,10.0,1,8.7,Traditional,Golden Age (85-96),United Kingdom
The Twisted Tales of Felix the Cat,25.0,0,7.5,Traditional,Golden Age (85-96),United States
The Unstoppable Yellow Yeti,11.0,0,7.3,Toon-Boom,Streaming Era (2010+),Coproduction
The Wacky World of Tex Avery,30.0,0,4.8,Traditional,Modern (97-09),Coproduction
The Weekenders,15.0,1,8.0,Traditional,Modern (97-09),United States
The Wild Thornberrys,30.0,0,6.6,Traditional,Modern (97-09),United States
The Wizard of Oz,30.0,0,6.5,Traditional,Golden Age (85-96),United States
The Wonderful World of Mickey Mouse,8.0,1,7.9,Traditional,Streaming Era (2010+),United States
The World of Peter Rabbit and Friends,24.0,1,8.4,Traditional,Golden Age (85-96),United Kingdom
Tinga Tinga Tales,12.0,1,7.6,Flash,Streaming Era (2010+),Coproduction
The Penguins of Madagascar,11.0,1,7.5,CGI,Modern (97-09),United States
The Hoobs,24.0,0,6.0,Stop Motion,Modern (97-09),United Kingdom
The Incredible Hulk,20.0,0,6.7,Traditional,Golden Age (85-96),United States
The Jellies!,11.0,0,6.3,Flash,Streaming Era (2010+),United States
The Jungle Book,30.0,0,4.8,CGI,Streaming Era (2010+),India
The Jungle Bunch: To the Rescue!,11.0,1,7.3,CGI,Streaming Era (2010+),Coproduction
The Hive,7.0,0,6.3,CGI,Streaming Era (2010+),United Kingdom
The Legend of Korra,23.0,1,8.3,Traditional,Streaming Era (2010+),United States
The Legend of Prince Valiant,22.0,0,7.4,Traditional,Golden Age (85-96),United States
The Legend of Vox Machina,30.0,1,8.4,Traditional,Streaming Era (2010+),United States
The Legend of Zelda,15.0,0,6.0,Traditional,Golden Age (85-96),United States
The Legends of Treasure Island,25.0,1,7.7,Traditional,Golden Age (85-96),United Kingdom
The High Fructose Adventures of Annoying Orange,30.0,0,2.1,Syncro-Vox/Live Action,Streaming Era (2010+),United States
The Heroic Quest of the Valiant Prince Ivandoe,11.0,0,7.3,Flash,Streaming Era (2010+),Coproduction
The Head,22.0,0,7.0,Traditional,Golden Age (85-96),United States
The Enchanted World of Brambly Hedge,30.0,1,8.2,Stop Motion,Golden Age (85-96),United Kingdom
The Epic Tales of Captain Underpants,24.0,0,6.7,Flash,Streaming Era (2010+),United States
The Fairly OddParents,30.0,1,7.2,Traditional (Season 1–10) Flash (Season 10),Modern (97-09),United States
The Fairly OddParents: Fairly Odder,25.0,0,2.5,Flash/Live-Action,Streaming Era (2010+),United States
The Fantastic Voyages of Sinbad the Sailor,30.0,0,7.3,Traditional,Golden Age (85-96),United States
The Further Adventures of SuperTed,30.0,0,7.1,Traditional,Golden Age (85-96),Coproduction
The Ghost and Molly McGee,22.0,0,7.5,Flash,Streaming Era (2010+),United States
The Great North,21.0,0,7.0,Traditional,Streaming Era (2010+),United States
The Harper House,30.0,0,5.5,Flash,Streaming Era (2010+),United States
The Haunted House,26.0,1,7.2,Traditional,Streaming Era (2010+),South Korea
The Patrick Star Show,11.0,0,3.7,Traditional,Streaming Era (2010+),United States
The Life and Times of Juniper Lee,30.0,0,6.4,Traditional,Modern (97-09),United States
The New Adventures of Lucky Luke,30.0,0,7.1,Traditional,Modern (97-09),France
The New Adventures of Ocean Girl,30.0,1,7.9,Traditional,Modern (97-09),Australia
The New Adventures of Winnie the Pooh,30.0,1,7.6,Traditional,Golden Age (85-96),United States
The New Archies,30.0,0,6.1,Traditional,Golden Age (85-96),United States
The New Adventures of He-Man,30.0,0,5.3,Traditional,Golden Age (85-96),United States
The New Batman Adventures,30.0,1,8.4,Traditional,Modern (97-09),United States
The Nudnik Show,30.0,0,6.1,Traditional,Golden Age (85-96),Czechoslovakia
The Oblongs,284.0,0,7.1,Traditional,Modern (97-09),United States
The Octonauts,11.0,1,7.5,CGI,Streaming Era (2010+),Coproduction
The Owl House,22.0,1,8.6,Traditional,Streaming Era (2010+),United States
The New Yogi Bear Show,24.0,0,6.5,Traditional,Golden Age (85-96),United States
The Mr. Peabody & Sherman Show,23.0,0,5.8,Flash,Streaming Era (2010+),United States
The Lionhearts,30.0,0,6.6,Traditional,Modern (97-09),United States
The Little Flying Bears,26.0,1,8.0,Traditional,Golden Age (85-96),Coproduction
The Little Lulu Show,25.0,0,7.2,Traditional,Golden Age (85-96),Coproduction
The Little Mermaid,25.0,0,6.8,Traditional,Golden Age (85-96),United States
The Looney Tunes Show,23.0,1,7.8,Traditional (CGI for shorts),Streaming Era (2010+),United States
The Magic Key,14.0,0,7.0,Traditional,Modern (97-09),United Kingdom
The Magic Roundabout,11.0,0,6.4,CGI,Modern (97-09),United Kingdom
The Magic School Bus,30.0,1,7.8,Traditional,Golden Age (85-96),Coproduction
The Magic School Bus Rides Again,26.0,0,6.3,Flash,Streaming Era (2010+),Coproduction
The Magical Adventures of Quasimodo,26.0,0,6.7,Traditional,Golden Age (85-96),Coproduction
The Marvelous Misadventures of Flapjack,11.0,1,7.8,Traditional,Modern (97-09),United States
The Midnight Gospel,23.0,1,8.2,Flash/Traditional,Streaming Era (2010+),United States
The Mighty B!,24.0,0,5.3,Traditional,Modern (97-09),United States
The Mighty Ones,22.0,0,6.6,Flash,Streaming Era (2010+),United States
The Misfortune of Being Ned,1.0,1,7.6,Flash,Streaming Era (2010+),United States
The Mouse and the Monster,30.0,0,6.5,Traditional,Golden Age (85-96),United States
Tiny Toon Adventures,21.0,1,7.5,Traditional,Golden Age (85-96),United States
Tish Tash,5.0,1,8.2,Flash,Streaming Era (2010+),Coproduction
Wicked!,30.0,0,7.6,Traditional,Modern (97-09),Australia
Wild Kratts,26.0,1,7.7,Flash,Streaming Era (2010+),Coproduction
Wild Life,12.0,0,6.0,Flash,Streaming Era (2010+),United States
Wild West C.O.W.-Boys of Moo Mesa,30.0,0,7.2,Traditional,Golden Age (85-96),United States
Where on Earth Is Carmen Sandiego?,21.0,1,7.2,Traditional,Golden Age (85-96),United States
Willa's Wild Life,25.0,0,6.9,Flash,Modern (97-09),Coproduction
Wing Commander Academy,22.0,0,6.8,Traditional,Golden Age (85-96),United States
Wish Kid,30.0,0,5.7,Traditional,Golden Age (85-96),United States
Wishfart,11.0,0,6.0,Toon Boom Harmony,Streaming Era (2010+),Canada
Wissper,7.0,0,6.5,CGI,Streaming Era (2010+),Coproduction
Wolfboy and the Everything Factory,25.0,0,7.5,Flash,Streaming Era (2010+),British
William's Wish Wellingtons,5.0,0,6.2,Traditional,Golden Age (85-96),United Kingdom
Wheel Squad,23.0,1,7.9,Traditional,Modern (97-09),France
Whatever Happened to... Robot Jones?,30.0,0,6.5,Traditional,Modern (97-09),United States
Wander Over Yonder,30.0,0,7.4,Flash,Streaming Era (2010+),United States
Watership Down,44.0,1,7.6,Traditional,Modern (97-09),Canada
Waynehead,30.0,0,6.5,Traditional,Golden Age (85-96),Coproduction
We Baby Bears,11.0,0,5.6,Traditional,Streaming Era (2010+),United States
We the People,3.0,0,4.2,Flash,Streaming Era (2010+),United States
What a Cartoon!,30.0,1,8.4,Traditional,Golden Age (85-96),United States
What About Mimi?,30.0,0,6.0,Traditional,Modern (97-09),Canada
What If...?,32.0,1,7.3,Traditional/CGI,Streaming Era (2010+),United States
"What's New, Scooby-Doo?",30.0,1,7.4,Traditional,Modern (97-09),United States
What's with Andy?,30.0,1,7.6,Traditional,Modern (97-09),Coproduction
"Wolves, Witches and Giants",15.0,1,7.8,Traditional,Golden Age (85-96),United Kingdom
Woozle & Pip,5.0,1,7.3,Flash,Streaming Era (2010+),Netherlands
Yoho Ahoy,5.0,1,8.3,Traditional,Modern (97-09),United Kingdom
Young Justice,23.0,1,8.6,Traditional,Streaming Era (2010+),United States
Young Robin Hood,26.0,0,6.9,Traditional,Golden Age (85-96),Coproduction
Yvon of the Yukon,30.0,0,6.6,Traditional,Modern (97-09),Canada
Yo Yogi!,30.0,0,5.1,Traditional,Golden Age (85-96),United States
Zevo-3,22.0,0,6.1,Traditional,Streaming Era (2010+),United States
Zig & Sharko,7.0,0,6.8,"Traditional (Season 1), Flash",Streaming Era (2010+),France
Zip Zip,30.0,0,7.4,Flash,Streaming Era (2010+),France
Zoboomafoo,29.0,1,7.6,"Traditional, Stop Motion, Live-Action",Modern (97-09),United States
Zazoo U,30.0,1,7.8,Traditional,Golden Age (85-96),United States
Yo Gabba Gabba!,23.0,0,7.0,Live-Action/Flash,Modern (97-09),United States
Yakkity Yak,15.0,0,4.6,Flash,Modern (97-09),Coproduction
Wow! Wow! Wubbzy!,25.0,0,6.3,Flash,Modern (97-09),United States
Wunschpunsch,30.0,0,7.4,Traditional,Modern (97-09),Coproduction
Wussywat the Clumsy Cat,5.0,0,7.0,Flash,Streaming Era (2010+),Coproduction
X-DuckX,7.0,0,6.4,Traditional,Modern (97-09),France
X-Men,23.0,1,8.4,Traditional,Golden Age (85-96),Coproduction
X-Men: Evolution,23.0,1,7.8,Traditional,Modern (97-09),United States
Xavier Riddle and the Secret Museum,25.0,1,8.0,Flash,Streaming Era (2010+),Coproduction
Xiaolin Chronicles,22.0,0,6.2,"Traditional, CGI (during the showdowns)",Streaming Era (2010+),Coproduction
Xiaolin Showdown,30.0,1,7.4,Traditional,Modern (97-09),United States
Woody Woodpecker,6.0,0,6.2,Flash,Streaming Era (2010+),United States
W.I.T.C.H.,30.0,0,7.3,Traditional,Modern (97-09),Coproduction
Transformers: Cyberverse,11.0,0,6.8,CGI,Streaming Era (2010+),United States
Transformers: Rescue Bots Academy,11.0,0,5.4,Flash,Streaming Era (2010+),Coproduction
Transformers: War for Cybertron Trilogy,30.0,0,7.2,CGI,Streaming Era (2010+),United States
Tree Fu Tom,26.0,0,5.4,CGI,Streaming Era (2010+),United Kingdom
Transformers: Botbots,25.0,0,5.6,Flash,Streaming Era (2010+),United States
Trivia Quest,9.0,0,5.8,Traditional,Streaming Era (2010+),United States
Trolls: The Beat Goes On!,25.0,0,5.9,Traditional,Streaming Era (2010+),Germany
Trollz,23.0,0,5.2,Traditional,Modern (97-09),United States
Trotro,3.0,0,6.3,Flash,Modern (97-09),France
Truckers,11.0,0,7.6,Traditional,Golden Age (85-96),United Kingdom
Toxic Crusaders,24.0,0,6.5,Traditional,Golden Age (85-96),United States
Totally Tooned In,30.0,1,8.1,Traditional,Modern (97-09),United States
Totally Spies!,22.0,1,7.1,Traditional,Modern (97-09),Coproduction
Tom and Jerry in New York,21.0,0,6.9,Flash,Streaming Era (2010+),United States
Tom and Jerry Tales,23.0,0,7.4,Traditional,Modern (97-09),Coproduction
Toon In With Me,60.0,1,7.9,Live-Action/Traditional,Streaming Era (2010+),United States
ToonHeads,30.0,1,8.5,Traditional,Golden Age (85-96),United States
ToonMarty,20.0,0,6.7,Flash,Streaming Era (2010+),Canada
Toonsylvania,30.0,0,7.0,Traditional,Modern (97-09),United States
Toopy and Binoo,23.0,0,7.2,Flash,Modern (97-09),Canada
Total Drama Presents: The Ridonculous Race,22.0,0,7.4,Flash,Streaming Era (2010+),Canada
Total DramaRama,11.0,0,4.0,Flash,Streaming Era (2010+),Coproduction
True and the Rainbow Kingdom,22.0,0,7.1,CGI,Streaming Era (2010+),Canada
Tube Mice,5.0,0,7.0,Traditional,Golden Age (85-96),United Kingdom
Untalkative Bunny,30.0,1,7.7,Traditional,Modern (97-09),Coproduction
Vampirina,25.0,0,6.4,CGI,Streaming Era (2010+),Coproduction
Vic the Viking,13.0,0,5.8,CGI,Streaming Era (2010+),Coproduction
ViR: The Robot Boy,30.0,0,3.3,CGI,Streaming Era (2010+),India
Visionaries: Knights of the Magical Light,30.0,0,7.6,Traditional,Golden Age (85-96),United States
Vixen,5.0,0,6.9,Traditional,Streaming Era (2010+),United States
Voltron Force,30.0,0,6.6,Traditional,Streaming Era (2010+),Coproduction
The Emperor's New School,30.0,0,6.6,Traditional,Modern (97-09),United States
Underground Ernie,12.0,0,5.9,CGI,Modern (97-09),United Kingdom
Underdogs United,11.0,0,7.0,Flash,Streaming Era (2010+),Argentina
Tuca & Bertie,26.0,1,7.4,Flash,Streaming Era (2010+),United States
Tugs,15.0,1,8.5,Stop Motion,Golden Age (85-96),United Kingdom
Turbo FAST,23.0,0,6.5,Flash/Traditional,Streaming Era (2010+),United States
Turning Mecard,26.0,1,8.3,Traditional,Streaming Era (2010+),South Korea
"Twinkle, the Dream Being",30.0,1,7.8,Traditional,Golden Age (85-96),United States
Twipsy,11.0,0,7.7,"Traditional, CGI",Modern (97-09),Germany
Ugly Americans,30.0,1,7.9,Flash,Streaming Era (2010+),United States
Ultimate Book of Spells,22.0,0,6.8,Traditional,Modern (97-09),Canada
Ultimate Spider-Man,23.0,1,7.2,Traditional,Streaming Era (2010+),United States
Ultra City Smiths,18.0,0,6.6,Stop Motion,Streaming Era (2010+),United States
Ultraforce,25.0,0,6.0,Traditional,Golden Age (85-96),United States
Undergrads,30.0,0,7.7,Flash,Modern (97-09),Coproduction
The Dreamstone,25.0,1,7.9,Traditional,Golden Age (85-96),United Kingdom
The Dog & Pony Show,11.0,0,7.7,Traditional,Streaming Era (2010+),Canada
Sharkdog,7.0,0,5.9,CGI,Streaming Era (2010+),United States
Shaun the Sheep,7.0,1,8.1,Stop Motion,Modern (97-09),United Kingdom
She-Ra and the Princesses of Power,30.0,1,8.1,Traditional,Streaming Era (2010+),United States
Sheep in the Big City,30.0,0,6.9,Traditional,Modern (97-09),United States
Shelley Duvall's Bedtime Stories,30.0,0,7.5,"Traditional, Live-action",Golden Age (85-96),United States
Sherlock Holmes in the 22nd Century,30.0,0,7.0,Traditional,Modern (97-09),Coproduction
Sidekick,24.0,0,4.1,Flash,Streaming Era (2010+),Canada
Silver Surfer,20.0,0,7.1,Traditional,Modern (97-09),Coproduction
Shimmer and Shine,30.0,0,5.2,"Flash (season 1), CGI (from season 2)",Streaming Era (2010+),United States
Shadow Raiders,30.0,1,8.1,CGI,Modern (97-09),Canada
Seven Little Monsters,30.0,0,7.0,Traditional,Modern (97-09),Coproduction
Sendokai Champions,11.0,1,8.3,CGI,Streaming Era (2010+),Spain
Samurai Rabbit: The Usagi Chronicles,25.0,0,6.4,CGI,Streaming Era (2010+),United States
Sanjay and Craig,23.0,0,4.8,Traditional,Streaming Era (2010+),United States
Santa Inc.,30.0,0,1.7,Stop Motion,Streaming Era (2010+),United States
Santiago of the Seas,30.0,0,6.5,CGI,Streaming Era (2010+),United States
Santo Bugito,52.0,0,7.0,Traditional,Golden Age (85-96),United States
Saturday Morning All Star Hits!,23.0,0,7.4,Flash/Live-Action,Streaming Era (2010+),United States
Saturday Morning Minions,1.0,0,7.4,Flash,Streaming Era (2010+),United States
Scaredy Squirrel,11.0,0,4.3,Flash,Streaming Era (2010+),Canada
Science Court,30.0,1,8.2,Traditional,Modern (97-09),United States
SciGirls,30.0,1,8.4,Flash,Streaming Era (2010+),United States
Scooby-Doo and Guess Who?,22.0,0,7.3,Traditional,Streaming Era (2010+),United States
Scooby-Doo! Mystery Incorporated,23.0,1,8.2,Traditional,Streaming Era (2010+),United States
Scream Street,11.0,0,7.5,Stop Motion,Streaming Era (2010+),United Kingdom
Sea of Love,10.0,1,8.2,Flash,Streaming Era (2010+),Thai
Secret Millionaires Club,30.0,0,7.5,Flash,Streaming Era (2010+),United States
Simon,5.0,0,6.8,Flash,Streaming Era (2010+),France
Samurai Jack,23.0,1,8.5,Traditional,Modern (97-09),United States
Simon in the Land of Chalk Drawings,30.0,1,7.7,Traditional,Modern (97-09),Coproduction
South Park,22.0,1,8.7,"Cutout animation (""Cartman Gets an Anal Probe""), CGI (""Weight Gain 4000"" onwards)",Modern (97-09),United States
Space Goofs,30.0,0,6.8,Traditional,Modern (97-09),France
Space Strikers,30.0,0,7.0,Traditional,Golden Age (85-96),Coproduction
Sooty's Amazing Adventures,10.0,0,6.2,Traditional,Golden Age (85-96),United Kingdom
Spawn,30.0,1,8.0,Traditional,Modern (97-09),United States
Special Agent Oso,23.0,0,5.4,CGI,Modern (97-09),United States
Spider-Man Unlimited,22.0,0,6.3,Traditional,Modern (97-09),United States
Spider!,5.0,0,7.4,Traditional,Golden Age (85-96),United Kingdom
Spidey and His Amazing Friends,22.0,0,5.8,CGI,Streaming Era (2010+),Coproduction
Sonic Underground,30.0,0,6.0,Traditional,Modern (97-09),Coproduction
Sonic the Hedgehog,22.0,0,6.8,Traditional,Golden Age (85-96),United States
Sitting Ducks,27.0,0,7.0,CGI,Modern (97-09),Coproduction
Skippy: Adventures in Bushtown,24.0,0,7.2,Traditional,Modern (97-09),Australia
Skunk Fu!,13.0,0,5.3,CGI/Flash,Modern (97-09),Coproduction
Sky Commanders,30.0,0,6.9,Traditional,Golden Age (85-96),United States
Sky Dancers,30.0,0,6.5,Traditional,Golden Age (85-96),France
Skylanders Academy,25.0,0,6.8,CGI,Streaming Era (2010+),Coproduction
Skysurfer Strike Force,30.0,0,6.8,Traditional,Golden Age (85-96),United States
Sofia the First,24.0,1,8.7,CGI,Streaming Era (2010+),United States
Solar Opposites,22.0,1,7.9,Flash,Streaming Era (2010+),United States
Sonic Boom,11.0,0,6.9,CGI,Streaming Era (2010+),Coproduction
Spike Team,30.0,1,8.1,Flash,Streaming Era (2010+),Italy
Salad Fingers,10.0,1,8.0,Flash,Modern (97-09),United Kingdom
Raw Toonage,30.0,0,7.2,Traditional,Golden Age (85-96),United States
ReBoot,30.0,1,7.9,CGI,Golden Age (85-96),Canada
ReBoot: The Guardian Code,30.0,0,3.8,"CGI, Live-action",Streaming Era (2010+),Canada
Recess,23.0,1,7.8,Traditional,Modern (97-09),United States
Redwall,30.0,1,8.1,Traditional,Modern (97-09),Coproduction
Regular Show,23.0,1,8.6,Traditional,Streaming Era (2010+),United States
Richie Rich,30.0,0,5.8,Traditional,Golden Age (85-96),United States
Rated A for Awesome,22.0,0,4.7,CGI,Streaming Era (2010+),Canada
Rastamouse,11.0,1,7.5,Stop Motion,Streaming Era (2010+),United Kingdom
Rapunzel's Tangled Adventure,21.0,1,7.7,Toon Boom Harmony,Streaming Era (2010+),United States
ProStars,30.0,0,5.8,Traditional,Golden Age (85-96),United States
Puffin Rock,7.0,1,8.6,Flash,Streaming Era (2010+),Ireland
Pumpkin Reports,11.0,0,7.6,CGI,Streaming Era (2010+),Coproduction
Purple and Brown,1.0,0,7.4,Stop Motion,Modern (97-09),United Kingdom
Q-Force,30.0,0,6.7,Flash,Streaming Era (2010+),United States
Quack Pack,30.0,0,6.7,Traditional,Golden Age (85-96),United States
Raa Raa the Noisy Lion,10.0,0,6.4,Stop Motion,Streaming Era (2010+),United Kingdom
Rainbow Butterfly Unicorn Kitty,11.0,0,4.8,Flash,Streaming Era (2010+),United States
Rainbow Fish,12.0,0,5.7,Traditional,Modern (97-09),Coproduction
Ranger Rob,24.0,0,5.9,CGI,Streaming Era (2010+),Canada
Rick and Morty,23.0,1,9.0,Flash,Streaming Era (2010+),United States
Sammy,30.0,0,6.3,Traditional,Modern (97-09),United States
Ricky Sprocket: Showbiz Boy,30.0,0,3.9,Flash,Modern (97-09),Canada
Ridley Jones,27.0,0,2.0,CGI,Streaming Era (2010+),United States
Rude Dog and the Dweebs,30.0,0,6.6,Traditional,Golden Age (85-96),United States
Rugrats,30.0,1,7.4,Traditional,Golden Age (85-96),United States
Rupert,30.0,1,7.0,Traditional,Golden Age (85-96),Coproduction
Saber Rider and the Star Sheriffs,23.0,1,8.4,Traditional,Golden Age (85-96),Coproduction
Sabrina: Secrets of a Teenage Witch,22.0,0,5.1,CGI,Streaming Era (2010+),United States
Sabrina: The Animated Series,30.0,0,6.0,Traditional,Modern (97-09),United States
"Sagwa, the Chinese Siamese Cat",30.0,0,7.2,Traditional,Modern (97-09),Coproduction
Rolie Polie Olie,24.0,0,6.3,CGI,Modern (97-09),France
Ring Raiders,30.0,0,6.3,Traditional,Golden Age (85-96),United States
"Rise Up, Sing Out",2.0,0,4.5,Flash,Streaming Era (2010+),United States
Road Rovers,30.0,0,7.1,Traditional,Golden Age (85-96),United States
Rob the Robot,15.0,0,7.0,CGI,Streaming Era (2010+),Canada
Robin,5.0,0,7.0,Traditional,Golden Age (85-96),Sweden
RoboCop: Alpha Commando,30.0,0,5.1,Traditional,Modern (97-09),Coproduction
Robotomy,11.0,0,6.5,Traditional,Streaming Era (2010+),United States
Robozuna,22.0,0,5.6,CGI,Streaming Era (2010+),United Kingdom
Rocket Monkeys,22.0,0,3.4,Flash,Streaming Era (2010+),Canada
Rocket Power,30.0,0,6.9,Traditional,Modern (97-09),United States
Rocko's Modern Life,30.0,1,7.9,Traditional,Golden Age (85-96),United States
Spiral Zone,30.0,0,7.4,Traditional,Golden Age (85-96),United States
Spirit Riding Free,23.0,1,6.5,CGI,Streaming Era (2010+),United States
The Adventures of Jimmy Neutron: Boy Genius,24.0,0,6.7,CGI,Modern (97-09),United States
The Adventures of Kid Danger,30.0,0,2.8,Flash,Streaming Era (2010+),United States
The Adventures of Paddington,21.0,1,8.2,CGI,Streaming Era (2010+),Coproduction
The Adventures of Paddington Bear,23.0,0,7.1,Traditional,Modern (97-09),Coproduction
The Adventures of Puss in Boots,23.0,0,6.6,CGI,Streaming Era (2010+),United States
The Adventures of Rocky and Bullwinkle,30.0,0,6.0,Flash,Streaming Era (2010+),United States
The Adventures of Sam,25.0,1,8.1,Traditional,Modern (97-09),Australia
The Adventures of Sam & Max: Freelance Police,22.0,0,7.7,Traditional,Modern (97-09),Coproduction
The Adventures of T-Rex,30.0,0,5.8,Traditional,Golden Age (85-96),Coproduction
The Adventures of Teddy Ruxpin,22.0,0,7.3,Traditional,Golden Age (85-96),United States
The Adventures of Tintin,30.0,1,8.3,Traditional,Golden Age (85-96),Coproduction
The Amazing World of Gumball,11.0,1,8.4,"Flash, Live-Action, CGI",Streaming Era (2010+),Coproduction
The Angry Beavers,30.0,1,7.1,Traditional,Modern (97-09),United States
The Adventures of Super Mario Bros. 3,286.0,0,7.0,Traditional,Golden Age (85-96),Coproduction
The Adventures of Don Coyote and Sancho Panda,30.0,0,6.9,Traditional,Golden Age (85-96),United States
Taz-Mania,30.0,0,6.7,Traditional,Golden Age (85-96),United States
Teacher's Pet,30.0,0,6.2,Traditional,Modern (97-09),United States
Team Umizoomi,24.0,0,6.2,"Flash, CGI, Live-action",Streaming Era (2010+),United States
Team Zenko Go,24.0,0,7.4,CGI,Streaming Era (2010+),United States
Teamo Supremo,30.0,0,4.2,Traditional,Modern (97-09),United States
Teddy Trucks,5.0,1,7.8,Traditional,Golden Age (85-96),United Kingdom
Teen Titans,23.0,1,7.9,Traditional,Modern (97-09),United States
Teen Titans Go!,10.0,0,5.8,Flash,Streaming Era (2010+),United States
Teenage Euthanasia,21.0,0,6.0,Flash,Streaming Era (2010+),United States
Teenage Mutant Ninja Turtles,23.0,1,7.9,Traditional,Golden Age (85-96),Coproduction
Teenage Mutant Ninja Turtles,24.0,1,7.9,CGI/Flash,Streaming Era (2010+),United States
The Addams Family,30.0,0,7.0,Traditional,Golden Age (85-96),United States
The Adventures of Blinky Bill,25.0,0,6.4,Traditional,Golden Age (85-96),Australia
The Animals of Farthing Wood,25.0,1,8.3,Traditional,Golden Age (85-96),United Kingdom
The Avengers: Earth's Mightiest Heroes,30.0,1,8.3,Traditional,Streaming Era (2010+),United States
The Awesomes,23.0,0,7.2,Flash,Streaming Era (2010+),United States
The Chicken Squad,22.0,0,5.7,CGI,Streaming Era (2010+),United States
The Chuck Jones Show,30.0,0,7.4,Traditional,Modern (97-09),United States
The Comic Strip,22.0,1,7.9,Traditional,Golden Age (85-96),United States
The Completely Mental Misadventures of Ed Grimley,30.0,1,7.8,Traditional/Live-Action,Golden Age (85-96),United States
The Creature Cases,28.0,0,7.7,CGI,Streaming Era (2010+),United States
The Croods: Family Tree,22.0,0,6.8,CGI,Streaming Era (2010+),United States
The Daltons,7.0,0,7.1,Traditional,Streaming Era (2010+),France
The DaVincibles,13.0,0,7.2,Flash,Streaming Era (2010+),Coproduction
The Day My Butt Went Psycho!,15.0,0,2.6,Flash,Streaming Era (2010+),Coproduction
The Deep,22.0,1,7.8,CGI,Streaming Era (2010+),Coproduction
The Dick & Paula Celebrity Special,30.0,0,7.3,Traditional,Modern (97-09),United States
The Critic,522.0,1,7.8,Traditional,Golden Age (85-96),United States
The Cat in the Hat Knows a Lot About That!,26.0,0,6.5,Flash,Streaming Era (2010+),Coproduction
The Caribou Kitchen,10.0,1,7.9,Traditional,Golden Age (85-96),United Kingdom
The Baby Huey Show,30.0,0,7.2,Traditional,Golden Age (85-96),United States
The Bellflower Bunnies,26.0,1,7.5,Traditional,Modern (97-09),Coproduction
The Berenstain Bears,30.0,1,7.7,Traditional,Modern (97-09),Canada
The Big Knights,10.0,1,8.4,Flash,Modern (97-09),United Kingdom
The Blobs,22.0,0,6.2,Traditional,Modern (97-09),United Kingdom
The Boss Baby: Back in Business,25.0,0,6.5,CGI,Streaming Era (2010+),Germany
The Boss Baby: Back in the Crib,25.0,0,5.8,CGI,Streaming Era (2010+),United States
The Bots Master,23.0,0,7.3,Traditional,Golden Age (85-96),Coproduction
The Brothers Grunt,30.0,0,3.0,Traditional,Golden Age (85-96),Coproduction
The Bumble Nums,54.0,1,8.3,Flash,Streaming Era (2010+),Canada
