genre,total_shows,successful,success_rate,avg_rating
Drama,40,16,40.0,7.040000000000001
Fantasy,53,21,39.62264150943396,6.741509433962266
Action,383,129,33.68146214099217,6.865535248041775
Family,419,141,33.65155131264916,6.863961813842482
Adventure,721,241,33.42579750346741,6.805686546463245
Music,15,5,33.33333333333333,7.273333333333334
Animation,1361,448,32.916972814107275,6.853416605437179
Sci-Fi,27,8,29.629629629629626,6.948148148148148
Comedy,651,184,28.264208909370197,6.631182795698925
