title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Gasp!,2011,2011,,52,"Australia, United States",Flash,Streaming Era (2010+),0,6.4,24.0,,Animation,tt3342858
My Life as a Teenage Robot,2003,2009,,40,United States,Traditional,Modern (97-09),6,6.9,12331.0,23.0,"Action,Adventure,Animation",tt0318233
Ella the Elephant,2013,2014,1,52,Canada,CGI,Streaming Era (2010+),1,6.7,68.0,11.0,"Animation,Family",tt1853955
Pet Alien,2005,2005,,52,United States,CGI,Modern (97-09),0,4.9,274.0,22.0,"Animation,Comedy,Family",tt0453434
The Lion Guard,2016,2019,3,74,United States,Flash/Toon Boom[1],Streaming Era (2010+),3,6.4,3487.0,30,"Action,Adventure,Animation",tt3793630
Kleo the Misfit Unicorn,1996,1996,1,26,Canada,Traditional,Golden Age (85-96),0,7.6,47.0,26.0,"Animation,Family,Fantasy",tt0469705
Looney Tunes Cartoons,2020,,5,62,United States,Traditional/Flash,Streaming Era (2010+),3,8.0,2406.0,12.0,"Adventure,Animation,Comedy",tt8543208
Kizazi Moto: Generation Fire,2022,2022,,,United States,Flash,Streaming Era (2010+),0,6.9,684.0,10.0,"Action,Adventure,Animation",tt14866860
Looped,2016,2016,,26,Canada,Flash,Streaming Era (2010+),0,5.4,204.0,22.0,"Animation,Comedy,Family",tt5116628
Craig of the Creek,2018,,4,143,United States,Traditional,Streaming Era (2010+),5,7.6,4410.0,30.0,"Adventure,Animation,Comedy",tt7713450
Happy Ness: The Secret of the Loch,1995,1995,1,13,United Kingdom,Traditional,Golden Age (85-96),0,8.2,40.0,23.0,"Animation,Family,Fantasy",tt3720294
Being Ian,2005,2008,3,63,Canada,Flash,Modern (97-09),3,6.4,477.0,30.0,"Animation,Family,Mystery",tt0471989
Skeleton Warriors,1995,1995,1,13,United States,Traditional,Golden Age (85-96),0,7.0,434.0,30.0,"Action,Adventure,Animation",tt0108928
The Morph Files,1995,1995,1,13,United Kingdom,Stop Motion,Golden Age (85-96),0,7.3,156.0,10.0,"Animation,Family",tt0300213
We Bare Bears,2015,2019,4,140,United States,Traditional,Streaming Era (2010+),4,7.8,22641.0,30.0,"Adventure,Animation,Comedy",tt4839610
Angelo Rules,2009,,,225,"Britain, France",CGI,Modern (97-09),14,6.8,2419.0,11.0,"Animation,Comedy,Family",tt1616209
Colonel Bleep,1957,1960,,104,United States,,Classic (pre-1970),3,6.6,102.0,5.0,"Animation,Family,Sci-Fi",tt0280246
Elliot Moose,1998,2000,2,26,Canada,"Traditional, Live-Action",Modern (97-09),2,6.5,115.0,22.0,"Animation,Comedy,Family",tt0373522
Random! Cartoons,2008,2009,,13,United States,Flash,Modern (97-09),1,6.8,188.0,30.0,"Adventure,Animation,Comedy",tt0890874
Seekers,2022,2022,,,Canada,CGI,Streaming Era (2010+),0,,,30.0,Documentary,tt14842318
Bert and Ernie's Great Adventures,2007,2011,2,52,"United States, Italian",Stop Motion,Modern (97-09),4,8.3,59.0,5.0,Animation,tt7565504
Sheriff Callie's Wild West,2014,2017,2,52,"Canada, United States",CGI,Streaming Era (2010+),3,6.2,929.0,25,"Action,Adventure,Animation",tt2769458
Shanna's Show,2004,2010,,,United States,Flash,Modern (97-09),6,8.2,40.0,3.0,"Animation,Family",tt0844438
Boonie Bears,2012,,,200,China,CGI,Streaming Era (2010+),11,5.8,218.0,13.0,"Adventure,Animation,Comedy",tt3342514
The Problem Solverz,2011,2013,2,26,United States,Flash,Streaming Era (2010+),2,2.0,2467.0,11.0,"Animation,Comedy,Family",tt1893088
Qumi-Qumi,2012,,1,18,"Russian, United States","Flash (2012–19), CGI (2017–present)",Streaming Era (2010+),11,7.9,105.0,,"Adventure,Animation,Comedy",tt2623770
Wiggly Park,1998,1998,1,26,United Kingdom,Traditional,Modern (97-09),0,,,,Animation,tt9113434
