title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
3000 Leagues in Search of Mother,1976,1976,,52,Japan,,Bronze Age (70s-84),0,7.3,1141.0,25.0,"Adventure,Animation,Drama",tt0074002
Mighty Mouse: The New Adventures,1987,1988,2,19,United States,Traditional,Golden Age (85-96),1,7.1,795.0,30.0,"Action,Adventure,Animation",tt0161170
Mika's Diary,2015,2015,1,52,Brazil,Flash,Streaming Era (2010+),0,7.9,52.0,,"Animation,Family",tt6263044
Mike Judge Presents: Tales from the Tour Bus,2017,2018,,21,United States,Traditional,Streaming Era (2010+),1,8.6,1716.0,30.0,"Animation,Biography,Comedy",tt7212136
Mike the Knight,2011,2017,3,104,"Canada, United Kingdom",CGI,Streaming Era (2010+),6,4.7,328.0,,"Animation,Family",tt2320669
Mike Tyson Mysteries,2014,2020,4,70,United States,Traditional,Streaming Era (2010+),6,8.2,6239.0,12.0,"Adventure,Animation,Comedy",tt3038546
"Mike, Lu & Og",1999,2001,2,26,"Russia, US",Traditional,Modern (97-09),2,6.2,1302.0,30.0,"Adventure,Animation,Comedy",tt0235589
Miles from Tomorrowland,2015,2018,3,75,United States,CGI,Streaming Era (2010+),3,6.4,744.0,30.0,"Adventure,Animation,Family",tt3098856
Mighty Max,1993,1994,2,40,United States,Traditional,Golden Age (85-96),1,7.8,2206.0,30.0,"Action,Adventure,Animation",tt0140749
Milo,2021,2021,,,United Kingdom,Flash,Streaming Era (2010+),0,,,,Documentary,tt14941738
Milo Murphy's Law,2016,2019,,26,United States,Traditional,Streaming Era (2010+),3,7.6,4263.0,12.0,"Action,Adventure,Animation",tt5439480
Mimi and Mr. Bobo,1999,2003,2,33,Spain,Traditional,Modern (97-09),4,6.7,23.0,30.0,"Animation,Comedy",tt2167125
Mini Beat Power Rockers,2017,,4,200,Argentina,CGI,Streaming Era (2010+),6,6.9,112.0,5.0,"Animation,Family,Music",tt7478542
Minnie's Bow-Toons,2011,2016,,40,United States,CGI,Streaming Era (2010+),5,5.4,300.0,4.0,"Animation,Comedy,Short",tt3008594
"Mira, Royal Detective",2020,2022,2,54,"United States, Canada",CGI,Streaming Era (2010+),2,7.4,435.0,24.0,"Adventure,Animation,Family",tt9357248
Miraculous: Tales of Ladybug & Cat Noir,2015,,4,104,France,CGI,Streaming Era (2010+),8,7.5,19691.0,20.0,"Action,Adventure,Animation",tt2580046
Mirette Investigates,2016,2017,,52,"France, Spain",Traditional,Streaming Era (2010+),1,7.7,11.0,13.0,Animation,tt6612628
Mighty Express,2020,,7,38,United States,CGI,Streaming Era (2010+),3,3.8,184.0,,"Adventure,Animation,Comedy",tt11860336
Mighty Ducks,1996,1997,1,26,United States,Traditional,Golden Age (85-96),1,6.4,2488.0,30.0,"Action,Adventure,Animation",tt0115269
Miffy's Adventures Big and Small,2015,2017,3,78,"Netherlands, United Kingdom",CGI,Streaming Era (2010+),2,8.0,89.0,7.0,"Animation,Family",tt4980876
Men in Black: The Series,1997,2001,4,53,United States,Traditional,Modern (97-09),4,6.8,4769.0,25.0,"Action,Animation,Comedy",tt0127385
Merlin the Magical Puppy,2001,2001,2,26,United Kingdom,CGI,Modern (97-09),0,6.7,26.0,10,"Animation,Family",tt1113486
Messy Goes to Okido,2015,2019,2,78,United Kingdom,CGI,Streaming Era (2010+),4,6.2,120.0,11.0,"Animation,Comedy,Family",tt3700734
Metalocalypse,2006,2013,,61,United States,Flash,Modern (97-09),7,8.3,19109.0,11.0,"Animation,Comedy,Music",tt0839188
MeteoHeroes,2020,,1,52,Italy,Flash,Streaming Era (2010+),3,8.6,29.0,,"Adventure,Animation,Comedy",tt16532808
Mia and Me,2012,,4,104,Germany,"CGI, Live-action",Streaming Era (2010+),11,6.8,1345.0,20.0,"Adventure,Animation,Family",tt2203143
Mia's Magic Playground,2020,,1,24,British,CGI,Streaming Era (2010+),3,6.0,28.0,7.0,Animation,tt11178244
Mickey Mouse,2013,2019,5,94,United States,Flash,Streaming Era (2010+),6,8.1,4477.0,4,"Adventure,Animation,Comedy",tt2768802
Mickey Mouse Clubhouse,2006,2016,,125,United States,CGI,Modern (97-09),10,5.8,6477.0,30.0,"Adventure,Animation,Comedy",tt0784896
Mickey Mouse Funhouse,2021,,1,22,United States,CGI,Streaming Era (2010+),2,5.3,559.0,11.0,"Action,Adventure,Animation",tt13262134
Mickey Mouse Works,1999,2000,2,25,United States,Traditional,Modern (97-09),1,7.1,514.0,30.0,"Animation,Comedy,Family",tt0198181
Mickey's Mouse Tracks,1992,1995,1,78,United States,Traditional,Golden Age (85-96),3,,,22,Animation,tt32306311
Microscopic Milton,1997,1997,1,26,United Kingdom,Traditional,Modern (97-09),0,8.0,47.0,,Animation,tt0302143
Middle School Moguls,2019,2019,,4,United States,CGI,Streaming Era (2010+),0,8.0,139.0,,"Adventure,Animation,Comedy",tt9165454
Middlemost Post,2021,,1,20,United States,Traditional,Streaming Era (2010+),2,6.6,339.0,,"Adventure,Animation,Comedy",tt13393400
Midnight Patrol: Adventures in the Dream Zone,1990,1990,1,13,"UK, US",Traditional,Golden Age (85-96),0,7.2,139.0,21.0,"Adventure,Animation,Comedy",tt0281480
Miffy and Friends,2003,2007,,39,Netherlands,Stop Motion,Modern (97-09),4,7.2,214.0,,"Animation,Family",tt1614180
Mischief City,2005,2005,1,26,Canada,Flash,Modern (97-09),0,6.3,37.0,,Animation,tt0441582
Megas XLR,2004,2005,,26,United States,Traditional,Modern (97-09),1,8.1,6797.0,30.0,"Action,Adventure,Animation",tt0361201
Miss BG,2005,2008,,52,"Canada, France",CGI,Modern (97-09),3,6.5,106.0,23.0,Animation,tt0463268
Miss Spider's Sunny Patch Friends,2004,2008,,44,"Britain, Canada, United States",CGI,Modern (97-09),4,6.3,810.0,30.0,"Adventure,Animation,Comedy",tt0428138
Moominvalley,2019,,2,26,"Britain, Finland",CGI,Streaming Era (2010+),4,7.2,1150.0,22.0,"Animation,Drama,Family",tt6921882
Moonbeam City,2015,2015,1,10,"United States, Canada",Flash,Streaming Era (2010+),0,6.9,2516.0,22.0,"Action,Animation,Comedy",tt3906560
Moral Orel,2005,2009,,44,United States,Stop Motion,Modern (97-09),4,8.1,9405.0,11.0,"Animation,Comedy,Drama",tt0476922
Mot,1996,1996,1,26,France,Traditional,Golden Age (85-96),0,7.2,28.0,30.0,Animation,tt1394794
Mother Goose and Grimm,1991,1992,2,13,United States,Traditional,Golden Age (85-96),1,7.9,110.0,,"Animation,Comedy,Family",tt0103495
Mother Up!,2013,2014,1,13,Canada,Flash,Streaming Era (2010+),1,5.4,659.0,,"Animation,Comedy",tt3107224
Monsters vs. Aliens,2013,2014,1,26,United States,CGI,Streaming Era (2010+),1,5.8,1740.0,15.0,"Action,Adventure,Animation",tt2782214
Motorcity,2012,2013,,20,United States,Flash,Streaming Era (2010+),1,7.4,575.0,22.0,"Action,Adventure,Animation",tt2392143
Mouk,2011,2011,1,52,France,Flash,Streaming Era (2010+),0,7.4,140.0,11.0,Animation,tt2129477
Moville Mysteries,2002,2003,1,26,Canada,Traditional,Modern (97-09),1,7.7,222.0,,"Adventure,Animation,Comedy",tt0339967
Mr. Bean: The Animated Series,2002,2019,5,130,United Kingdom,"Traditional (first 3 seasons, later seasons use Flash)",Modern (97-09),17,6.9,17103.0,11.0,"Animation,Comedy,Family",tt0280277
Mr. Bogus,1991,1993,3,43,United States,Traditional,Golden Age (85-96),2,7.4,283.0,30.0,"Animation,Comedy,Family",tt0179596
Mr. Magoo,2019,,,78,"France, United States",Flash,Streaming Era (2010+),4,6.9,101.0,7.0,"Adventure,Animation,Comedy",tt10544020
Mr. Meaty,2005,2009,,20,"Canada, United States",Live-Action,Modern (97-09),4,5.9,1699.0,30.0,"Comedy,Fantasy,Horror",tt0849236
Mr. Men and Little Miss,1995,1997,3,107,United Kingdom,Traditional,Golden Age (85-96),2,7.4,135.0,5.0,"Animation,Comedy,Family",tt0416396
Motu Patlu,2012,,,262,India,CGI,Streaming Era (2010+),11,5.6,1357.0,10.0,"Action,Adventure,Animation",tt2649730
Monsters At Work,2021,,1,10,United States,CGI,Streaming Era (2010+),2,7.0,10812.0,22.0,"Adventure,Animation,Comedy",tt8610082
Monster Math Squad,2012,2016,,132,Canada,CGI,Streaming Era (2010+),4,6.3,53.0,30.0,Animation,tt2289057
Monster High,2022,2022,,,United States,CGI,Streaming Era (2010+),0,6.2,826.0,22.0,"Animation,Comedy,Family",tt14118188
Mission Hill,1999,2000,1,13,United States,Traditional,Modern (97-09),1,7.8,5758.0,30.0,"Animation,Comedy,Drama",tt0197148
Mixels,2014,2016,,31,United States,Toom Boon/Traditional/Flash,Streaming Era (2010+),2,4.2,572.0,1.0,"Adventure,Animation,Comedy",tt3648886
Mofy,2013,,3,,"United Kingdom, Japan, Italy, Germany",Stop-motion,Streaming Era (2010+),10,7.9,77.0,5.0,"Animation,Family",tt3140164
Molang,2015,,5,313,"France, South Korea, United Kingdom",Flash,Streaming Era (2010+),8,8.2,581.0,,"Animation,Comedy,Family",tt6046238
Mole Sisters,2003,2003,,,Canada,Traditional,Modern (97-09),0,7.3,25.0,4.0,"Animation,Family",tt0438724
Molly of Denali,2019,,1,31,"Canada, United States",Flash,Streaming Era (2010+),4,8.7,304.0,30.0,"Action,Adventure,Animation",tt8651594
Molly's Gang,1994,1995,1,26,United Kingdom,Stop Motion,Golden Age (85-96),1,,,,Animation,tt1260996
Momma Named Me Sheriff,2019,2021,2,19,United States,Flash,Streaming Era (2010+),2,6.1,1116.0,12.0,"Animation,Comedy",tt11305746
Mona the Vampire,1999,2006,4,65,"Canada, France",Traditional,Modern (97-09),7,6.2,1473.0,23.0,"Adventure,Animation,Comedy",tt0262972
Mondo Yan,2020,,1,52,"Spain, Ireland",CGI,Streaming Era (2010+),3,7.7,11.0,,Animation,tt13457132
Mongo Wrestling Alliance,2011,2011,1,10,United States,Flash/CGI,Streaming Era (2010+),0,3.9,195.0,11.0,Animation,tt1879603
Monk Little Dog,2009,2010,,52,"France, South Korea",CGI,Modern (97-09),1,6.9,36.0,,Animation,tt25179022
Monkey Dust,2003,2005,,18,United Kingdom,Traditional,Modern (97-09),2,8.5,2447.0,29.0,"Animation,Comedy,Horror",tt0386224
Monster Allergy,2005,2009,,52,"France, Germany, Italy",Traditional,Modern (97-09),4,7.4,394.0,23.0,"Action,Adventure,Animation",tt0850641
Monster by Mistake,1996,2006,3,52,Canada,CGI,Golden Age (85-96),10,5.3,243.0,22.0,"Animation,Family,Fantasy",tt0223753
Monster Farm,1998,1999,1,13,United States,Traditional,Modern (97-09),1,6.5,139.0,,Animation,tt0381784
Monster Force,1994,1994,1,13,"United States, Canada",Traditional,Golden Age (85-96),0,7.0,129.0,25.0,"Animation,Fantasy,Horror",tt0292600
Miss Moon,2016,,,52,France,Flash,Streaming Era (2010+),7,7.3,62.0,12.0,"Adventure,Comedy,Fantasy",tt5653332
"Mr. Monkey, Monkey Mechanic",2017,,,12,Canada,Flash,Streaming Era (2010+),6,9.2,19.0,,Animation,tt7056596
Mega Man: Fully Charged,2018,2019,1,52,"Canada, Japan, United States",CGI,Streaming Era (2010+),1,4.2,328.0,11.0,"Action,Adventure,Animation",tt5608708
Mechanick,2003,2004,,45,"United Kingdom, Canada, Australia",Stop-motion,Modern (97-09),1,4.3,21.0,10.0,"Animation,Family",tt3714722
Little Robots,2003,2003,,39,United Kingdom,Stop Motion,Modern (97-09),0,6.1,249.0,10.0,"Animation,Family,Sci-Fi",tt0379641
Little Rosey,1990,1990,1,13,"Canada, United States",Traditional,Golden Age (85-96),0,5.7,95.0,30.0,"Animation,Comedy,Family",tt0098848
Little Roy,2016,2017,,52,Ireland,Traditional/Live-action,Streaming Era (2010+),1,6.8,35.0,,Family,tt6610942
Little Shop,1991,1991,1,13,United States,Traditional,Golden Age (85-96),0,4.0,159.0,30.0,"Animation,Comedy,Family",tt0120982
Little Singham,2018,,,,India,Traditional,Streaming Era (2010+),5,2.8,224.0,12.0,"Action,Animation",tt11151836
Littlest Pet Shop,1995,1996,1,40,United States,Traditional,Golden Age (85-96),1,6.7,76.0,30.0,"Animation,Comedy,Family",tt0212670
Little Princess,2006,2006,,100,United Kingdom,Flash,Modern (97-09),0,5.5,484.0,,"Animation,Family",tt0934676
Liverspots and Astronots,2018,2018,,15,United States,Traditional,Streaming Era (2010+),0,5.8,32.0,,Animation,tt7619232
Llama Llama,2018,2019,2,25,United States,Flash,Streaming Era (2010+),1,6.4,340.0,24.0,"Adventure,Animation,Family",tt4781350
Llan-ar-goll-en,2013,2016,2,51,Wales,Flash/Live-action,Streaming Era (2010+),3,,,11.0,Family,tt4901124
Lloyd in Space,2001,2004,4,40,United States,Traditional,Modern (97-09),3,6.6,1711.0,30.0,"Adventure,Animation,Comedy",tt0275848
Loggerheads,1997,1997,1,16,Germany,Traditional,Modern (97-09),0,8.0,32.0,25.0,"Adventure,Animation,Family",tt0135732
Lola & Virginia,2006,2007,,52,"Dekania, Spain",Flash,Modern (97-09),1,4.3,138.0,30,"Animation,Family",tt1166121
LoliRock,2014,2014,2,52,France,Flash/Traditional,Streaming Era (2010+),0,7.6,901.0,22.0,"Action,Adventure,Animation",tt4506998
Loonatics Unleashed,2005,2007,,26,United States,Traditional,Modern (97-09),2,5.7,1274.0,30.0,"Action,Adventure,Animation",tt0476918
Lizzie McGuire,2001,2003,3,65,United States,Traditional/Live-Action,Modern (97-09),2,6.6,21660.0,30.0,"Comedy,Drama,Family",tt0273366
Little People,2016,2017,,52,"Canada, Britain",CGI,Streaming Era (2010+),1,7.1,66.0,,"Adventure,Animation,Comedy",tt4196322
Little Mouse on the Prairie,1996,1996,1,26,"US, China",Traditional,Golden Age (85-96),0,7.1,53.0,,"Adventure,Animation,Comedy",tt4792478
Little Monsters,1998,1999,1,52,Netherlands,Traditional,Modern (97-09),1,8.2,38.0,,"Animation,Family,Fantasy",tt1673447
Liberty's Kids,2002,2003,1,40,United States,Traditional,Modern (97-09),1,7.9,1742.0,30.0,"Adventure,Animation,Family",tt0337550
Life with Louie,1994,1998,3,39,United States,Traditional,Golden Age (85-96),4,8.3,8820.0,30.0,"Adventure,Animation,Comedy",tt0112047
Life's a Zoo,2008,2008,,20,Canada,Stop Motion,Modern (97-09),0,7.2,323.0,22.0,"Animation,Comedy,Music",tt1331751
Lilly the Witch,2004,2014,,52,Germany,"Traditional(season 1,2), Flash (season 3)",Modern (97-09),10,7.2,109.0,22.0,"Action,Animation,Comedy",tt0421386
Lilo & Stitch: The Series,2003,2006,2,65,United States,Traditional,Modern (97-09),3,6.8,13228.0,22.0,"Action,Adventure,Animation",tt0364774
Lily's Driftwood Bay,2014,2017,2,100,Ireland,Flash,Streaming Era (2010+),3,7.8,93.0,,"Animation,Family",tt2196584
Liquid Television,1991,1994,3,27,United States,Traditional,Golden Age (85-96),3,8.1,1154.0,30.0,"Animation,Comedy,Crime",tt0101134
Little Bear,1995,2003,5,65,"Canada, United States",Traditional,Golden Age (85-96),8,7.3,5185.0,24.0,"Adventure,Animation,Comedy",tt0245637
Little Bill,1999,2004,4,52,United States,Traditional,Modern (97-09),5,6.3,2789.0,30.0,"Animation,Family",tt0229141
Little Charmers,2015,2017,2,57,Canada,CGI,Streaming Era (2010+),2,5.5,193.0,22,"Action,Adventure,Animation",tt3523560
Little Clowns of Happytown,1987,1988,1,18,United States,Traditional,Golden Age (85-96),1,5.2,61.0,,"Adventure,Animation,Comedy",tt0284755
Little Demon,2022,,1,7,United States,Flash,Streaming Era (2010+),1,7.0,5665.0,26,"Animation,Comedy,Horror",tt12198014
Little Dracula,1991,1999,1,13,United States,Traditional,Golden Age (85-96),8,6.3,182.0,30.0,"Animation,Comedy,Family",tt0101135
Little Einsteins,2005,2009,,67,United States,Flash,Modern (97-09),4,6.4,3095.0,,"Adventure,Animation,Comedy",tt0756522
Little Ellen,2021,,2,20,United States,Flash,Streaming Era (2010+),2,1.8,582.0,11.0,"Adventure,Animation,Comedy",tt10473710
Little J & Big Cuz,2017,2017,,26,Australia,Traditional,Streaming Era (2010+),0,8.4,51.0,,"Animation,Family",tt6903214
Little Krishna,2009,2009,,13,India,CGI,Modern (97-09),0,8.4,924.0,23.0,"Adventure,Animation,Drama",tt1629042
Loopdidoo,2006,2016,,250,France,CGI,Modern (97-09),10,6.6,59.0,6.0,"Animation,Family",tt0892184
Mega Babies,1999,2001,2,38,"Canada, United States",Traditional,Modern (97-09),2,2.6,1162.0,30.0,"Adventure,Animation,Comedy",tt0348512
Los Trotamúsicos,1989,1989,1,26,Spain,Traditional,Golden Age (85-96),0,6.1,286.0,30.0,"Adventure,Animation,Comedy",tt0268858
Lucky Fred,2011,2014,,104,Spain,Flash,Streaming Era (2010+),3,6.1,112.0,13.0,"Action,Adventure,Animation",tt2164295
Martin Mystery,2003,2006,3,66,"Canada, France, Italy",Traditional,Modern (97-09),3,7.5,3582.0,22.0,"Action,Adventure,Animation",tt0374419
Marvel Action Universe,1988,1988,1,12,United States,Traditional,Golden Age (85-96),0,6.0,22.0,,Animation,tt2128001
Marvin the Tap-Dancing Horse,2000,2002,2,26,"Canada, China",Flash,Modern (97-09),2,6.4,148.0,30.0,"Adventure,Animation,Family",tt0294143
Mary Shelley's Frankenhole,2010,2012,2,20,United States,Stop Motion,Streaming Era (2010+),2,7.1,1088.0,15.0,"Animation,Comedy,Horror",tt1535715
Mary-Kate and Ashley in Action!,2001,2002,1,26,United States,Traditional,Modern (97-09),1,4.0,483.0,30.0,"Adventure,Animation,Comedy",tt0300802
Maryoku Yummy,2010,2010,1,26,United States,Flash,Streaming Era (2010+),0,8.8,22.0,,"Adventure,Animation,Family",tt1745951
Massive Monster Mayhem,2017,2018,,10,Canada,CGI/Live-action,Streaming Era (2010+),1,7.0,50.0,,Comedy,tt7555000
Martin Morning,2003,2018,,156,France,Traditional,Modern (97-09),15,6.7,317.0,13.0,"Animation,Family",tt1375683
Masters of the Universe: Revelation,2021,2021,2,10,United States,Traditional,Streaming Era (2010+),0,5.6,29467.0,25.0,"Action,Adventure,Animation",tt10826054
Max & Ruby,2002,2019,7,130,Canada,Flash,Modern (97-09),17,6.2,3625.0,30.0,"Animation,Family",tt0367367
Max Steel,2000,2002,3,35,"Canada, United States",CGI,Modern (97-09),2,6.2,703.0,30.0,"Action,Adventure,Animation",tt0236908
Maxie's World,1987,1987,1,32,United States,Traditional,Golden Age (85-96),0,6.8,71.0,30.0,Animation,tt0096650
Maya & Miguel,2004,2007,,65,United States,Traditional,Modern (97-09),3,6.0,865.0,30.0,"Adventure,Animation,Comedy",tt0426745
Maya the Bee,2012,2017,,78,"France, Germany",CGI,Streaming Era (2010+),5,5.7,537.0,13,"Adventure,Animation,Comedy",tt2724814
McGee and Me!,1989,1995,1,12,United States,Traditional,Golden Age (85-96),6,7.0,478.0,30.0,"Animation,Drama,Family",tt0090594
Matt Hatter Chronicles,2011,2015,4,52,"Britain, Canada",CGI,Streaming Era (2010+),4,7.0,430.0,22.0,"Action,Animation,Fantasy",tt1455926
Martha Speaks,2008,2014,6,96,"Canada, United States",Flash,Modern (97-09),6,6.7,1683.0,28.0,"Animation,Comedy,Family",tt1043776
Marsupilami,1993,1993,1,13,"US, UK, Australia",Traditional,Golden Age (85-96),0,6.1,1671.0,30.0,"Adventure,Animation,Comedy",tt0179592
Marcus Level,2014,2017,1,52,France,Flash,Streaming Era (2010+),3,7.6,72.0,,"Adventure,Animation,Comedy",tt4236204
Lulu's Islands,2009,,,52,France,Flash,Modern (97-09),14,,,13.0,"Animation,Family",tt1530769
Luna Petunia,2016,2018,,26,"Canada, United States",CGI,Streaming Era (2010+),2,7.0,82.0,22.0,"Animation,Family,Fantasy",tt4588068
Lunar Jim,2006,2012,,92,Canada,Stop Motion,Modern (97-09),6,6.0,228.0,,"Adventure,Animation,Family",tt0808080
M.K. 22,2004,2004,,10,Israeli,CGI,Modern (97-09),0,8.5,198.0,22.0,"Animation,Comedy",tt0413583
M.O.D.O.K.,2021,,1,10,United States,Stop Motion,Streaming Era (2010+),2,6.4,6679.0,22,"Action,Animation,Comedy",tt9811118
Mad,2010,2013,4,103,United States,"Traditional, Flash, Stop Motion, CGI, Live-action",Streaming Era (2010+),3,6.0,3499.0,12.0,"Animation,Comedy",tt1718438
Mad Jack the Pirate,1998,1999,1,13,United States,Traditional,Modern (97-09),1,8.5,2297.0,30.0,"Adventure,Animation,Comedy",tt0275849
Madagascar: A Little Wild,2020,2022,8,50,United States,CGI,Streaming Era (2010+),2,5.9,334.0,23.0,"Adventure,Animation,Comedy",tt11714912
Mademoiselle Zazie,2013,2013,1,78,France,CGI,Streaming Era (2010+),0,5.6,21.0,7,Animation,tt3227218
Magi-Nation,2007,2010,2,52,"Canada, South Korea",Traditional,Modern (97-09),3,6.6,203.0,22.0,"Action,Adventure,Animation",tt1001475
Magic Adventures of Mumfie,1994,1998,3,79,United Kingdom,Traditional,Golden Age (85-96),4,7.8,196.0,,"Animation,Family,Fantasy",tt0361155
Magical Girl Friendship Squad,2020,,1,6,United States,Flash,Streaming Era (2010+),3,3.4,1516.0,12,"Animation,Comedy,Fantasy",tt12104080
Magical Girl Friendship Squad: Origins,2020,,1,6,United States,Flash,Streaming Era (2010+),3,2.2,740.0,,"Animation,Comedy,Fantasy",tt7683028
Maisy,1999,2001,1,26,United Kingdom,Traditional,Modern (97-09),2,6.6,310.0,5.0,"Animation,Family",tt1176301
Major Lazer,2014,2015,,11,United States,Flash,Streaming Era (2010+),1,7.6,945.0,15.0,"Action,Animation,Comedy",tt4612950
Making Fiends,2008,2008,,6,United States,Flash,Modern (97-09),0,7.9,583.0,,"Animation,Comedy,Family",tt1170236
Mama Mirabelle's Home Movies,2007,2008,,26,"Britain, United States",Flash,Modern (97-09),1,7.1,109.0,,"Animation,Family",tt1105447
Louie,2006,2009,,117,France,Flash,Modern (97-09),3,6.8,138.0,,Animation,tt2080835
Let's Go Luna!,2018,,2,43,"Canada, United States",Flash,Streaming Era (2010+),5,7.5,259.0,30.0,"Animation,Comedy,Family",tt7200884
Mudpit,2011,2013,2,25,Canada,CGI,Streaming Era (2010+),2,4.8,215.0,,"Adventure,Comedy",tt1763752
Mummies Alive!,1997,1997,1,42,United States,Traditional,Modern (97-09),0,7.0,1687.0,30.0,"Action,Adventure,Animation",tt0125633
Peppa Pig,2004,2012,7,329,United Kingdom,Flash,Modern (97-09),8,6.2,8208.0,9.0,"Adventure,Animation,Comedy",tt0426769
Pepper Ann,1997,2000,5,65,United States,Traditional,Modern (97-09),3,7.1,4447.0,30.0,"Animation,Comedy,Family",tt0128890
Perfect Hair Forever,2004,2007,,8,United States,Flash,Modern (97-09),3,6.6,651.0,15.0,"Adventure,Animation,Comedy",tt0465849
Pet Squad,2011,2011,1,26,"Britain,Canada",Flash,Streaming Era (2010+),0,7.3,38.0,,"Animation,Comedy,Family",tt1980664
Petals,1998,1999,2,55,Australia,Traditional,Modern (97-09),1,8.7,10.0,,"Animation,Family,Fantasy",tt0259151
Peter Pan and the Pirates,1990,1991,1,65,United States,Traditional,Golden Age (85-96),1,7.2,778.0,30.0,"Adventure,Animation,Family",tt0098891
Peter Rabbit,2012,2016,,78,"Ireland, Britain",CGI,Streaming Era (2010+),4,5.7,770.0,23,"Adventure,Animation,Comedy",tt2720144
Penny Crayon,1989,1990,1,12,United Kingdom,Traditional,Golden Age (85-96),1,6.8,181.0,10.0,"Adventure,Animation,Drama",tt0380941
Phantom 2040,1994,1996,1,35,"US, France",Traditional,Golden Age (85-96),2,7.2,836.0,30.0,"Action,Animation,Crime",tt0110825
Phineas and Ferb,2007,2015,4,222,United States,Traditional,Modern (97-09),8,8.1,67648.0,15.0,"Action,Adventure,Animation",tt0852863
Pickle and Peanut,2015,2018,2,42,United States,Flash,Streaming Era (2010+),3,4.6,1921.0,30,"Adventure,Animation,Comedy",tt3824018
Pig City,2002,2002,1,39,"Canada, France",Traditional,Modern (97-09),0,7.4,122.0,30.0,Animation,tt0326701
Pig Goat Banana Cricket,2015,2018,2,40,United States,Flash,Streaming Era (2010+),3,3.5,1146.0,22,"Animation,Comedy",tt3218114
Pigeon Boy,2002,2002,1,26,France,Traditional,Modern (97-09),0,7.7,37.0,26.0,"Action,Adventure,Animation",tt5591592
Piggsburg Pigs!,1990,1990,1,13,"Canada, United States",Traditional,Golden Age (85-96),0,6.1,37.0,44.0,Animation,tt0098894
Pikwik Pack,2020,,1,29,United States,Flash,Streaming Era (2010+),3,8.2,86.0,24.0,Animation,tt13315378
Phantom Investigators,2002,2002,1,13,United States,Stop Motion,Modern (97-09),0,7.6,53.0,30.0,"Action,Adventure,Animation",tt0360300
Penn Zero: Part-Time Hero,2014,2017,,35,United States,Flash,Streaming Era (2010+),3,6.9,2522.0,22,"Adventure,Animation,Comedy",tt3293184
Pencilmation,2004,,26,542,United States,Traditional/Flash,Modern (97-09),19,8.6,77.0,3.0,"Animation,Short",tt6258314
Pelswick,2000,2002,2,26,"Canada, China",Traditional,Modern (97-09),2,6.8,287.0,30.0,"Animation,Comedy,Family",tt0262981
Pac-Man and the Ghostly Adventures,2013,2015,3,52,"Canada, Japan, United States",CGI,Streaming Era (2010+),2,4.7,1144.0,30.0,"Action,Adventure,Animation",tt2392179
Pacific Heat,2016,2017,,26,Australia,Traditional,Streaming Era (2010+),1,5.9,1199.0,22.0,"Action,Animation,Comedy",tt6283542
Packages from Planet X,2013,2014,1,52,"Canada, United States",Flash,Streaming Era (2010+),1,6.4,142.0,22.0,"Action,Adventure,Animation",tt3052798
Paddington Bear,1989,1990,1,13,"US, UK",Traditional,Golden Age (85-96),1,7.2,167.0,30.0,Animation,tt1814277
Pakdam Pakdai,2013,,6,535,India,Flash,Streaming Era (2010+),10,6.3,173.0,11.0,"Animation,Comedy,Family",tt11836288
Pantheon,2022,,1,8,United States,Traditional,Streaming Era (2010+),1,8.5,21873.0,41,"Action,Adventure,Animation",tt11680642
Paradise PD,2018,,,30,United States,Flash/Traditional,Streaming Era (2010+),5,6.8,23983.0,28.0,"Action,Animation,Comedy",tt8235236
Party Legends,2016,2017,,14,United States,Traditional/Live-action,Streaming Era (2010+),1,7.1,137.0,30.0,Animation,tt5849156
Pat & Stan,2004,2009,,362,France,CGI,Modern (97-09),5,7.6,67.0,,"Animation,Comedy,Family",tt2553440
Pat the Dog,2017,,,78,"Belgium, France, Italy",CGI,Streaming Era (2010+),6,5.4,123.0,7.0,"Animation,Comedy,Family",tt5221566
PAW Patrol,2013,,7,182,"Canada, United States",CGI,Streaming Era (2010+),10,6.1,7875.0,23.0,"Adventure,Animation,Comedy",tt3121722
PB Bear and Friends,1998,1998,1,30,United Kingdom,Stop Motion,Modern (97-09),0,8.1,33.0,5,"Animation,Family",tt3253796
PB&J Otter,1998,2000,3,65,United States,Traditional,Modern (97-09),2,6.9,1812.0,15.0,"Animation,Comedy,Family",tt0191715
Peanuts,2014,2016,,37,"France, Italy, United States",Flash,Streaming Era (2010+),2,7.0,322.0,7.0,"Action,Adventure,Animation",tt5772554
Pecola,2001,2002,1,26,"Canada, Japan",CGI,Modern (97-09),1,5.5,181.0,30.0,"Animation,Family",tt0326700
Pedro and Frankensheep,2008,2008,,10,United Kingdom,Flash,Modern (97-09),0,8.3,16.0,5,"Animation,Comedy,Family",tt1216441
Peep and the Big Wide World,2004,2011,,104,"Canada, United States",Flash,Modern (97-09),7,7.9,928.0,22.0,"Adventure,Animation,Comedy",tt0389668
Pinecone & Pony,2022,2022,1,8,United States,Flash,Streaming Era (2010+),0,6.5,175.0,,"Adventure,Animation,Comedy",tt18830366
Pablo the Little Red Fox,1999,1999,1,52,United Kingdom,Traditional,Modern (97-09),0,8.1,81.0,5.0,"Adventure,Animation,Family",tt1632125
